Time [s],Value,Parity Error,Framing Error
3.543694000000000,O,,
3.544266000000000,K,,
3.544838000000000,\r,,
3.545410000000000,\n,,
3.945656000000000,E,,
3.946228000000000,l,,
3.946800000000000,i,,
3.947372000000000,t,,
3.947944000000000,e,,
3.948516000000000,' ',,
3.949088000000000,2,,
3.949660000000000,4,,
3.950234000000000,' ',,
3.950806000000000,' ',,
3.951378000000000,' ',,
3.951950000000000,' ',,
3.952522000000000,' ',,
3.953094000000000,E,,
3.953666000000000,N,,
3.954238000000000,G,,
3.954810000000000,-,,
3.955382000000000,>,,
3.955954000000000,S,,
3.956526000000000,W,,
3.957098000000000,' ',,
3.957670000000000,V,,
3.958242000000000,4,,
3.958814000000000,.,,
3.959386000000000,0,,
3.959958000000000,2,,
3.960530000000000,.,,
3.961102000000000,0,,
3.961674000000000,1,,
3.962246000000000,L,,
3.962818000000000,S,,
3.963390000000000,1,,
3.963962000000000,\r,,
3.964534000000000,\n,,
4.554362000000000,M,,
4.554934000000000,a,,
4.555506000000000,s,,
4.556078000000000,t,,
4.556650000000000,e,,
4.557222000000000,r,,
4.557794000000000,' ',,
4.558366000000000,' ',,
4.558938000000000,'221',,
4.559510000000000,V,,
4.560082000000000,x,,
4.560654000000000,'1',,
4.561226000000000,'0',,
4.561798000000000,?,,
4.562370000000000,'0',,
4.562942000000000,'0',,
4.563514000000000,'0',,
4.564086000000000,'255',,
4.564658000000000,'255',,
4.565230000000000,'255',,
4.565802000000000,'255',,
4.566374000000000,'135',,
4.566946000000000,'177',,
4.567518000000000,\r,,
4.568092000000000,\n,,
5.135450000000000,' ',,
5.136022000000000,S,,
5.136594000000000,y,,
5.137166000000000,s,,
5.137738000000000,t,,
5.138310000000000,e,,
5.138882000000000,m,,
5.139454000000000,' ',,
5.140026000000000,A,,
5.140598000000000,l,,
5.141170000000000,e,,
5.141742000000000,r,,
5.142314000000000,t,,
5.142886000000000,s,,
5.143458000000000,!,,
5.144030000000000,' ',,
5.144602000000000,1,,
5.145174000000000,2,,
5.145746000000000,:,,
5.146318000000000,4,,
5.146890000000000,5,,
5.147462000000000,.,,
5.148034000000000,5,,
5.148606000000000,6,,
5.149178000000000,' ',,
5.149750000000000,T,,
5.150322000000000,h,,
5.150894000000000,u,,
5.151466000000000,' ',,
5.152040000000000,0,,
5.152612000000000,1,,
5.153184000000000,' ',,
5.153756000000000,\r,,
5.154328000000000,\n,,
5.646732000000000,' ',,
5.647304000000000,S,,
5.647876000000000,y,,
5.648448000000000,s,,
5.649020000000000,t,,
5.649592000000000,e,,
5.650164000000000,m,,
5.650736000000000,' ',,
5.651308000000000,A,,
5.651880000000000,l,,
5.652452000000000,e,,
5.653024000000000,r,,
5.653596000000000,t,,
5.654168000000000,s,,
5.654740000000000,!,,
5.655312000000000,' ',,
5.655884000000000,1,,
5.656456000000000,2,,
5.657028000000000,:,,
5.657600000000000,4,,
5.658172000000000,5,,
5.658744000000000,.,,
5.659316000000000,5,,
5.659888000000000,7,,
5.660460000000000,' ',,
5.661032000000000,T,,
5.661604000000000,h,,
5.662176000000000,u,,
5.662748000000000,' ',,
5.663322000000000,0,,
5.663894000000000,1,,
5.664466000000000,' ',,
5.665038000000000,\r,,
5.665610000000000,\n,,
6.043612000000000,' ',,
6.044184000000000,S,,
6.044756000000000,y,,
6.045328000000000,s,,
6.045900000000000,t,,
6.046472000000000,e,,
6.047044000000000,m,,
6.047616000000000,' ',,
6.048188000000000,A,,
6.048760000000000,l,,
6.049332000000000,e,,
6.049904000000000,r,,
6.050476000000000,t,,
6.051048000000000,s,,
6.051620000000000,!,,
6.052192000000000,' ',,
6.052764000000000,1,,
6.053336000000000,2,,
6.053908000000000,:,,
6.054480000000000,4,,
6.055052000000000,5,,
6.055624000000000,.,,
6.056196000000000,5,,
6.056768000000000,7,,
6.057340000000000,' ',,
6.057912000000000,T,,
6.058484000000000,h,,
6.059056000000000,u,,
6.059628000000000,' ',,
6.060200000000000,0,,
6.060772000000000,1,,
6.061344000000000,' ',,
6.061916000000000,\r,,
6.062488000000000,\n,,
6.441206000000000,' ',,
6.441778000000000,S,,
6.442350000000000,y,,
6.442922000000000,s,,
6.443494000000000,t,,
6.444066000000000,e,,
6.444638000000000,m,,
6.445210000000000,' ',,
6.445782000000000,A,,
6.446354000000000,l,,
6.446926000000000,e,,
6.447498000000000,r,,
6.448070000000000,t,,
6.448642000000000,s,,
6.449214000000000,!,,
6.449786000000000,' ',,
6.450358000000000,1,,
6.450930000000000,2,,
6.451502000000000,:,,
6.452074000000000,4,,
6.452646000000000,5,,
6.453218000000000,.,,
