Time [s],Value,Parity Error,Framing Error
3.319816000000000,\,,
3.320390000000000,W,,
3.320962000000000,1,,
3.321534000000000,2,,
3.322108000000000,3,,
3.322680000000000,4,,
3.323252000000000,5,,
3.323826000000000,6,,
3.324398000000000,7,,
3.324972000000000,8,,
3.325544000000000,/,,
3.652874000000000,\,,
3.653446000000000,I,,
3.654018000000000,/,,
4.228834000000000,\,,
4.229404000000000,X,,
4.229976000000000,3,,
4.230548000000000,'1',,
4.231118000000000,/,,
4.834068000000000,\,,
4.834640000000000,L,,
4.835214000000000,/,,
5.357894000000000,\,,
5.358464000000000,L,,
5.359036000000000,/,,
5.803244000000000,\,,
5.803816000000000,L,,
5.804388000000000,/,,
6.237570000000000,\,,
6.238142000000000,L,,
6.238714000000000,/,,
6.696190000000000,\,,
6.696762000000000,L,,
6.697334000000000,/,,
7.323318000000000,\,,
7.323888000000000,L,,
7.324460000000000,/,,
7.730032000000000,\,,
7.730606000000000,L,,
7.731178000000000,/,,
8.138242000000000,\,,
8.138812000000000,L,,
8.139384000000000,/,,
8.661804000000000,\,,
8.662376000000000,K,,
8.662946000000000,'1',,
8.663518000000000,'1',,
8.664090000000000,/,,
9.162288000000000,\,,
9.162860000000000,L,,
9.163432000000000,/,,
9.739585999999999,\,,
9.740157999999999,L,,
9.740729999999999,/,,
10.141814000000000,\,,
10.142386000000000,K,,
10.142956000000000,'1',,
10.143528000000000,'2',,
10.144100000000000,/,,
10.697608000000001,\,,
10.698180000000001,K,,
10.698752000000001,'1',,
10.699324000000001,'3',,
10.699896000000001,/,,
11.141598000000000,\,,
11.142170000000000,L,,
11.142740000000000,/,,
11.704694000000000,\,,
11.705266000000000,K,,
11.705836000000000,'1',,
11.706408000000000,'4',,
11.706980000000000,/,,
12.154196000000001,\,,
12.154768000000001,L,,
12.155340000000001,/,,
12.774070000000000,\,,
12.774642000000000,L,,
12.775216000000000,/,,
13.361412000000000,\,,
13.361984000000000,L,,
13.362556000000000,/,,
14.094875999999999,\,,
14.095447999999999,L,,
14.096022000000000,/,,
14.570664000000001,\,,
14.571236000000001,L,,
14.571808000000001,/,,
15.029946000000001,\,,
15.030518000000001,L,,
15.031091999999999,/,,
15.496942000000001,\,,
15.497515999999999,K,,
15.498087999999999,'1',,
15.498659999999999,'23',,
15.499231999999999,/,,
16.120576000000000,\,,
16.121150000000000,K,,
16.121724000000000,'1',,
16.122295999999999,'23',,
16.122868000000000,/,,
16.490300000000001,\,,
16.490872000000000,L,,
16.491444000000001,/,,
17.030671999999999,\,,
17.031244000000001,K,,
17.031815999999999,'1',,
17.032388000000001,'1',,
17.032958000000001,/,,
17.530936000000001,\,,
17.531507999999999,K,,
17.532081999999999,'1',,
17.532654000000001,'2',,
17.533225999999999,/,,
18.026565999999999,\,,
18.027138000000001,L,,
18.027709999999999,/,,
18.635960000000001,\,,
18.636531999999999,K,,
18.637104000000001,'1',,
18.637675999999999,'3',,
18.638248000000001,/,,
18.984610000000000,\,,
18.985184000000000,K,,
18.985755999999999,'1',,
18.986328000000000,'4',,
18.986902000000001,/,,
19.513832000000001,\,,
19.514406000000001,L,,
19.514980000000001,/,,
20.029399999999999,\,,
20.029972000000001,L,,
20.030543999999999,/,,
20.572302000000001,\,,
20.572872000000000,L,,
20.573443999999999,/,,
21.230754000000001,\,,
21.231325999999999,L,,
21.231900000000000,/,,
21.845929999999999,\,,
21.846502000000001,K,,
21.847073999999999,'1',,
21.847646000000001,'23',,
21.848217999999999,/,,
22.247682000000001,\,,
22.248256000000001,L,,
22.248830000000002,/,,
22.927738000000002,\,,
22.928308000000001,L,,
22.928879999999999,/,,
23.524875999999999,\,,
23.525448000000001,K,,
23.526019999999999,'1',,
23.526592000000001,'23',,
23.527163999999999,/,,
24.230927999999999,\,,
24.231497999999998,K,,
24.232070000000000,'1',,
24.232641999999998,'23',,
24.233212000000002,/,,
24.721147999999999,\,,
24.721723999999998,L,,
24.722297999999999,/,,
25.272469999999998,\,,
25.273046000000001,L,,
25.273620000000001,/,,
25.722498000000002,\,,
25.723071999999998,L,,
25.723644000000000,/,,
26.265118000000001,\,,
26.265689999999999,L,,
26.266264000000000,/,,
26.871824000000000,\,,
26.872395999999998,L,,
26.872969999999999,/,,
27.539781999999999,\,,
27.540355999999999,L,,
27.540928000000001,/,,
28.081498000000000,\,,
28.082072000000000,L,,
28.082643999999998,/,,
28.698001999999999,\,,
28.698575999999999,L,,
28.699145999999999,/,,
29.410560000000000,\,,
29.411134000000001,L,,
29.411708000000001,/,,
29.942432000000000,\,,
29.943003999999998,L,,
29.943576000000000,/,,
